route name,sector name,grade,ascents,stars
El Pais de la Bicicleta,Arrastradero,7A,1,5
laga tank,Arrastradero,6B+,1,5
N.N. (bloc 42 n° a),Arrastradero,6C,1,0
Manzanita,Arrastradero,6B+,1,0
N.N. (11d),SOL,6A,1,0
N.N. (2e),Techos 2,6A,1,0
N.N. (49c),Arrastradero,6A,1,0
N.N. (2d),Techos 2,6A+,1,0
la raja,Cabrerizo,6A+,1,0
Doblehombro assis,Unknown Crag,7B,1,0
Itchy y Scratchy,Unknown Crag,7A,1,0
many boulders up to 6c+,Unknown Crag,6C+,1,0
Tras la linea enemiga,Unknown Crag,7A+,1,3
N.N. (dinamico hombro),Unknown Crag,7B,1,0
dcha bidedo,Unknown Crag,6B+,1,0
izd mariposas,Unknown Crag,7A+,1,5
Der. RegletOrejas,Unknown Crag,7A,1,1
¿?¿? Arrastradero,Unknown Crag,7A,1,0
El Panal?,Unknown Crag,7A,1,0
Mardigrass,Unknown Crag,7C,1,0
Sikothriller,Unknown Crag,7B,1,0
Psycokiller,Techos,7A+,1,0
Al filo de la gloria,Unknown Crag,7A,1,0
Stratos -de pié en filo-,Unknown Crag,7B,1,0
Esperanza(before hold broke),Arrastradero,7A+,1,0
El bloque del Miguel,Los techos,7A+,1,5
Wind Stopper,Unknown Crag,7A,1,3
Tonicoefesvescente,Unknown Crag,7A,1,5
supermafatacho,Techos 2,6B,1,0
N.N. (boulder 2/c),Techo don pepo,6B+,1,3
N.N. 11,Parking,6A,1,3
N.N. (Boulder 7 a),Masia,7A,1,0
N.N. (Boulder 3 g),Techo don pepo,7A,1,0
N.N. (Boulder 3 a),Psicokiller,7A+,1,5
Jump,Unknown Crag,7A+,1,5
Tonicoefervescante,Unknown Crag,7A,1,0
Hard top out Sit start,Unknown Crag,7C,1,5
Arrastadero prow,Unknown Crag,7B,1,5
El circo del sol,Unknown Crag,7C,1,5
Slopey prow,Unknown Crag,7A+,1,5
N.N. 1,Techos 2,6C,1,3
Techo don pepo (por la izq.),Techo don pepo,7C,1,5
Efecto maripos,Peninsula,7A+,1,5
N.N. (Boulder 1 b),Techos 2,7A+,1,5
Motivos Personales SD,Unknown Crag,7C+,1,0
La Balena,Unknown Crag,7A+,1,3
motivación personal,Peninsula,7B,1,5
arrastradero,Arrastradero,7C+,1,3
TECHO BLOC 2 D,Unknown Crag,7C,1,5
GAZO TANKS,Unknown Crag,6B+,1,5
TECHO AU FONT,Unknown Crag,7A,1,5
TECHO FOND ANGLE INT,Unknown Crag,7B+,1,5
TECHO 3D JETE,Unknown Crag,7A,1,5
7 a trave,Unknown Crag,7A,1,0
whitness the fitnnes,Unknown Crag,6C+,1,0
Espolon vuelo sin motor,Techos,6A+,1,3
La ley de la barra,Arrastradero,6A+,1,5
ñapas,Unknown Crag,6B,1,5
los Jabaloyas (sentado),Unknown Crag,7B+,1,5
Tonicoefervescente (izq.),Unknown Crag,7A,1,3
el Jacuzzi (integrale),Unknown Crag,7B,1,5
Techo Don Pepe (izq.),Unknown Crag,7C+,1,5
7a ? Arrastradero,Unknown Crag,7A,1,5
PLATIERE2,Peninsula,7B+,1,5
PLATIERE 3 BIS,Peninsula,7C+,1,5
jabaloyas,El Sol,7B+,1,5
compresion,El Sol,7C,1,5
El movement Arroita,Arrastradero,7C,1,1
trave maja,Arrastradero,7B,1,0
"El bloque de pedro ""bidedo""",la masia,7C,1,0
daños colaterales,La peninsula,7B+,1,3
Plaqueta,La peninsula,5A,1,0
Borda del campus,Arrastradero,6A,1,3
El Phomega,Los techos,7A+,1,0
trave fuertes,Arrastradero,7B,1,0
Alpedreteam,Acantilados,7A,1,3
blok left of la lagrima,Arrastradero,7A+,1,3
N.N. 22,Unknown Crag,7B,1,5
N.N. (right of bipepillo nr34),SOL,7A+,1,3
sds nr 40 out in 85,SOL,7B,1,3
left side of the big roof,Unknown Crag,7B+,1,3
jeté,Techos,7B,1,1
nr74 direct,Unknown Crag,7B,1,5
jeté devers,Techos,7B,1,5
sitstart in cave dyno out with sloper and crimper,Techos,7C+,1,3
total right in big roof,Unknown Crag,7A+,1,3
ten meter left of the big roof,Unknown Crag,6C+,1,5
30m right of the big roof,Unknown Crag,7B,1,5
Bulder 15-H,Techos 1,5B,1,0
N.N. (Boulder 1-A),loskot,6B,1,0
N.N. (Boulder 1-B),loskot,6A,1,0
Bulder 7-C,Peninsula,6A,1,0
Bulder 5-C,Parking,3A,1,0
Bulder 4-B,Parking,5C,1,0
17c,Techos 2,7A+,1,0
N.N.,Psicokiller,7A,1,0
el subcionador,Arrastradero,7B+,1,5
el señor de las mosca,El Sol,7B,1,3
en el callejon (ss),Peninsula,7B+,1,3
Survival,Unknown Crag,7C,1,0
Mortadelo y Suflemón,SOL,7A,1,5
"Whiskey, Porros y Nieve",SOL,7A,1,5
techamen,Parking,6C+,1,5
aerolyne,albarracin,7B+,1,1
Mortadelo y suflemon,Unknown Crag,7A,1,3
Kung Fu Chándal,Arrastradero,7A,1,5
mardie gras,Arrastradero,7B+,1,5
derecha de huella jabali,Fuente,7B,1,5
N.N. (Boulder 7-c),Techos 1,6A,1,0
N.N. (Boulder 10-a),Techos 1,5B,1,0
N.N. (Boulder 7-b),Techos 1,3A,1,5
Papillon,Cabrerizo,7C,1,3
N.N. (Boulder 12 a),Parking,6A,1,3
el epeadero,Arrastradero,7B,1,3
N.N. 9,Peninsula,7A,1,5
guebrantamentes,Techos 1,6C+,1,0
like a bow,Techos 1,7B,1,3
N.N. 29,SOL,8A,1,5
N.N. 3,Techo don pepo,7B,1,5
N.N. 2,Techo don pepo,6C+,1,0
Placa bajo techo,Techos,7A+,1,3
Arista de los belgas s.s,Arrastradero,7B,1,5
bloco 4 boulder e,Parking,4A,1,3
bloco 4 boulder c,Parking,5C,1,5
bloco 4 boulder b,Parking,5C,1,5
bloco 4 boulder b,Aeroline,6A,1,3
Esperranza,Arrastradero,7A,1,3
17 C,Unknown Crag,7B,1,5
re vom pepo,Unknown Crag,7C,1,0
N.N.,Unknown Crag,6B,1,3
Campus banda,Arrastradero,6A,1,5
La dieta mendieta,Parking,6C,1,5
Sonrisa vetical,Parking,6B,1,5
el mystero de chrischa y anna s. sd,Arrastradero,6C,1,5
tonicoefesvercente,Arrastradero,7A,1,0
pais de las bicicletas,Unknown Crag,7A,1,5
N.N. (sueno),Unknown Crag,7A,1,1
N.N. (regletera),Arrastradero,6A,1,0
N.N. (Roo),SOL,6B+,1,5
N.N. (Azorenhoch),SOL,6A,1,0
N.N. 1,Techos,7C+,1,0
N.N. (7c),Techos 1,6A,1,0
N.N. (10b),SOL,5B,1,0
be,Techos,3A,1,3
N.N. 84,SOL,7A,1,0
N.N. 70,SOL,6A,1,3
N.N. (17b),SOL,7A+,1,0
N.N. (5a),Aeroline,6A,1,0
Pirueta,SOL,5C,1,5
The teclat,SOL,6A,1,0
84,SOL,7A,1,0
4 b,Unknown Crag,5C,1,5
5 b,Aeroline,5C,1,5
6 d,Aeroline,5C,1,5
1 c,Masia,6A,1,5
Albarrasims sd,SOL,5C,1,5
Tonicoefervescente left sd,Arrastradero,6C+,1,0
sd,Arrastradero,6B,1,0
EL CANPUS,Arrastradero,6C+,1,0
B29b,Unknown Crag,5C,1,5
B12a,Techos,6C+,1,0
B12b,Techos,7A,1,0
B1b,Parking,7A,1,5
B4b,Aeroline,6A,1,1
B5b,Aeroline,5C,1,5
B19,Unknown Crag,7A,1,5
Morfoempotre,Techos,7A+,1,5
al garbancin,Tierra media,7B+,1,0
Gargolita s.s.,Arrastradero,7B+,1,5
La tortuga direct,Parking,6C+,1,5
Travesia Rave,Parking,7B+,1,5
E boulder 14,Techos 2,7A,1,3
A boulder 12,Techos 2,7B,1,0
N.N. (2c),Techo don pepo,6B+,1,0
N.N.,arrastraero,6C+,1,0
groyere,Arrastradero,6B+,1,0
"N.N. (Boulder 39, c)",Arrastradero,4A,1,0
N.N. (39b),Arrastradero,5C,1,0
N.N. (15a),Techos,5C,1,0
N.N. (16a),Techos,5A,1,0
N.N. (16c),Techos,5A,1,0
N.N. (7a),Techos,4A,1,0
N.N.,SOL,6A,1,0
N.N. (bloque 7e),Masia,3A,1,5
N.N. (bloque 1e),Masia,3A,1,0
N.N. (bloque 7d),Masia,3A,1,3
N.N. (bloque 7h),Masia,4A,1,5
N.N. (bloque 7c),Masia,5C,1,0
N.N. (bloque 5d),Masia,5C,1,1
e,Techos 1,7A,1,5
c bulder 17,Techos 2,7A+,1,3
N.N. (43c),Arrastradero,7A+,1,5
N.N. (1b),Parking,7A,1,3
N.N. (14c),Techos,6C,1,5
el cuerno,Techos,6C,1,5
romo herectus,Techos,7A,1,3
Sit entrada con talones y ñapas y salida algo inco,Techos,7A+,1,3
N.N. (boulder 15-a),Techos 2,5C,1,3
el bocadito,Unknown Crag,7C,1,3
N.N. (Boulder 1: Route D),Parking,7A,1,0
N.N. (Boulder 22: Route E),Arrasteredo,7A,1,5
N.N.,Cabrerizo,7B+,1,3
Sin romos no hay paraiso,Arrastradero,6C+,1,1
Rud man,Unknown Crag,7B+,1,5
N.N. 43,Unknown Crag,7A+,1,3
N.N. (1b),Parking,7A,1,3
Esquina,SOL,7A+,1,3
On the right of wassame???,Techos,7C,1,3
N.N. (Boulder 4/a),Techos 2,6C,1,3
N.N. (boulder 5 letra a),Aeroline,7A,1,3
N.N. (Boulder 6/a),Techos 2,7A+,1,3
N.N. (Boulder 3/d),Psicokiller,7A,1,5
N.N. (Boulder 22/d),Arrastrader,7A,1,5
N.N. (Boulder 22/b),Arrastradero,6C,1,3
N.N. (Boulder 28/c),Arrastradero,6C+,1,5
N.N. (Boulder 44/a),Arrastradero,7A,1,5
Round top out,Arrastradero,6C+,1,5
Antipasti,SOL,7A,1,5
4+1= por el culo te la inco,SOL,7A,1,1
"Boulder24, A",Arrastradero,6C+,1,1
"Boulder1, E",Techos,7A,1,5
La fisura,Arrastradero,6B+,1,3
13 e,Techos 1,7A,1,3
48 b,Arrastradero,7A,1,0
28 c,Arrastradero,6C+,1,1
8 b,Techos,7B,1,5
Antiángel Cristo,Dos Caras,7A,1,5
Colmillicos,Dos Caras,7A+,1,0
Double Bastardo,Dos Caras,7A+,1,5
Triple Bastardo,Dos Caras,7B,1,5
Heini Holzer,Heini Holzer,7C,1,5
N.N.,Bergerie,7C+,1,0
N.N. (7C),Aeroline,7C,1,5
N.N. (3E),Techno Don Pepo,7C,1,3
N.N. (3G),Techno Don Pepo,7A,1,5
bould22.c,Arrastradero,7A,1,1
boulder5 a,Aeroline,7A,1,5
dere jacuzzi,Arrastradero,6C,1,5
N.N. (boulder 2 b),Parking,7A,1,3
N.N. (boulder 25 c),Arrastradero,7A,1,1
La legua,Aeroline,6C+,1,5
24 a,Arrastradero,6C+,1,3
Gazo Tanks,Arrastradero,6B+,1,5
Pinturas buldestres,Techos,7C+,1,5
S.O.S. Sit Start,Tierra media,7C,1,5
Arrete,SOL,7A+,1,5
elizabeth arden,Peninsula,7C+,1,5
Varano left side,Arrastradero,7C,1,5
rulefeu,SOL,7A+,1,0
N.N. 3,Peninsula,6A,1,5
p3,Peninsula,6A,1,3
t2,Peninsula,6A,1,5
x2,Peninsula,6B+,1,5
N.N. (Esperanza),Techos,7B,1,1
el gato con botas/milano,Unknown Crag,7B,1,5
N.N.,Arrastradero,7B+,1,3
... quilla,Arrastradero,7A,1,0
El succionador right exit,Arrastradero,7A+,1,3
t'allomaras,Cabrerizo,6B+,1,3
Pornostar,Peninsula,6C+,1,0
el chavo del ocho,Arrastradero,6C,1,0
Inverti-dios,Cabrerizo,6A+,1,0
Prespectiva sit,Cabrerizo,6A,1,5
Los Jabaloyas Alternative,SOL,7A,1,5
Derecha Psicokiller,Techos,7A,1,0
smells like teen pussy,Unknown Crag,6C+,1,1
double dyno,Unknown Crag,7B,1,3
el conciolo,Unknown Crag,7B,1,1
danilamo,Unknown Crag,7C+,1,5
braindead,Unknown Crag,7C,1,5
roof-right exit,Unknown Crag,7C+,1,0
cocino,Unknown Crag,7B,1,5
superfamanco,Unknown Crag,7B,1,5
roof left of techo don pepo,Unknown Crag,7C,1,0
aristronauta project left start,Unknown Crag,7C,1,5
sandman,Unknown Crag,7C,1,0
techos classic,Unknown Crag,7B,1,0
roof problem,Unknown Crag,7C+,1,5
Alvaridares,SOL,6A,1,1
Karmansia en pie,SOL,7A,1,3
el jabolayas,El Sol,7B,1,5
double dyno roof,Unknown Crag,7A,1,0
undercling cave in the techos,Unknown Crag,7B+,1,5
El desperaton,Arrastradero,6A+,1,5
T'asillomaras,Cabrerizo,6B+,1,5
Lance(trave klem),Unknown Crag,7C,1,5
proyecto en guia,Arrastradero,7A,1,5
techo del psikokiller,Psicokiller,7A+,1,5
El orejas de pie,Arrastradero,7B,1,5
Dere campana,Techos,7A,1,3
El Bocaíto q le metía,Arrastradero,7C,1,5
Izquierda Efecto Mariposa,La peninsula,7A,1,5
Enfrente del anterior,La peninsula,7A,1,3
Jogoines,SOL,6A,1,3
Tasclafés,SOL,6A,1,5
Lance pie-mano,Techos,7C,1,5
Reunión Extrema secreta,Madriles,6C,1,3
variante tonicoesfervescente,Arrastradero,7A,1,5
manutención,Parquing,7C+,1,3
paionada,Parking,7B,1,3
Titanic sit,Unknown Crag,8A,1,5
Reunión Extrema secreta Campus start,Unknown Crag,7A,1,5
percebeiros conection,Unknown Crag,7A,1,5
Ineschackra,Unknown Crag,7C,1,5
Psicokiller left arete,Psicokiller,7A,1,5
Cajijas con wiskey,Psicokiller,7A,1,1
2 finger pocket problem,Peninsula,6C+,1,5
Izq. Sietecerrao,Arrastradero,6C+,1,5
N.N.,Psichothiller,6C,1,0
Bloque I2,Peninsula,7A,1,3
Bloque K2,Peninsula,6C,1,5
La traversia de los techos,Techos,7B,1,5
Control de Qualidad,Unknown Crag,7C+,1,3
N.N. (Left of las orejas),Arrastradero,7A,1,5
El Circo del Sol ss,SOL,7B+,1,5
N.N.,s,7A+,1,0
la rasante del mutante,Entreaguas,7B,1,0
Tonicoefesvescente,Arrastradero,7A,1,3
Esperanzah,Unknown Crag,7A,1,3
N.N. (izquierda del dado),dado,7A,1,5
El Jacuzzi izq,Arrastradero,7A,1,5
la verdad,Arrastradero,7A+,1,5
N.N.,Peninsula,6C+,1,3
N.N. (derecha mardie grass),Arrastradero,6C,1,0
N.N. (43c),Arrastradero,7B,1,0
Via undercling,Arrastradero,5C,1,0
48 D,Arrastradero,5A,1,5
48 E,Unknown Crag,6A,1,5
"Problema 35, Techito",Arrastradero,7A,1,5
Putos detalles,Unknown Crag,6B,1,3
El culo de la tortu,Unknown Crag,7A,1,0
Guardián entre el centeno,Tierra Baja,7B,1,5
Sincope,Unknown Crag,7A,1,5
La seta,Unknown Crag,7A,1,5
Gafas Rotas,Unknown Crag,7B,1,0
Lance(sector techos),Unknown Crag,6C+,1,0
Wasame!,Unknown Crag,7B+,1,0
Harry potter,Unknown Crag,7C+,1,5
Jabaloyas (depie),Unknown Crag,7B,1,5
Rincon Sueco,Unknown Crag,4A,1,5
N.N. (Straight up),Unknown Crag,5B,1,5
De los nuestros,Unknown Crag,7A,1,5
PSICOTRILLER,Unknown Crag,7B,1,5
Black & White,Unknown Crag,7A,1,5
the ring,Unknown Crag,6B,1,3
cool line,Unknown Crag,6B,1,5
(quilla planos),Unknown Crag,7A+,1,3
ReunionEtremaSecreta,Unknown Crag,6C,1,0
El guardian drcha,Unknown Crag,7A+,1,5
Black&white,Unknown Crag,7A,1,5
El desplome belga,Unknown Crag,7B+,1,5
De los nuestros!,Unknown Crag,7A,1,0
polvoron en almibar,Unknown Crag,6A,1,3
ATICOB,Unknown Crag,6B,1,5
Titanik,Unknown Crag,7A,1,5
El techo de la madera,Unknown Crag,6B+,1,5
El Señor DLas Moscas,Unknown Crag,7B,1,5
Señor de las moscas,Unknown Crag,7A+,1,5
Agujero negro,Unknown Crag,6A,1,5
El elicoptero,Unknown Crag,7A,1,5
El filo de los belgas,Unknown Crag,7B+,1,5
N.N. (Babaresa),Parking,6B,1,5
N.N. (El del pino),Parking,6A,1,0
El txavo del 8,Arrastradero,6B,1,3
"N.N. (Trave, sit star)",Unknown Crag,6A+,1,5
(El del bidedo),Unknown Crag,7C,1,5
La Mala Educacion,Unknown Crag,8A+,1,0
Desplome de los belgas,Unknown Crag,7B,1,5
N.N. (Boulder 11 B),SOL,6B+,1,5
"Roof, hooks, pockets and slopers",Arrastradero,7A,1,5
el triangulo,SOL,7A+,1,3
"Detrás del ermitaño hacia la izquierda, la esquin",Parking,6A,1,3
La travesía que sale por el centro que esta casi a,Arrastradero,6A,1,0
Izq. Gorillaz,Techos,7B,1,1
Muro de Héctor,Techos,7B+,1,3
la caracola,Holzer,6A,1,0
Scincerrado,Arrastradero,6C,1,5
la visera,s.parking,7A,1,5
Curcumeido assis,Holzer,6C+,1,5
La campana direct,Techos,8A,1,5
Super Mafa Tacho Dyno,Techos,7A,1,5
Big roof,Terria Media,7A,1,3
12 c,Techos,6C+,1,5
RobinGayer,Techos,7C+,1,5
Ineschacra,Unknown Crag,7C,1,5
¿La choncha?,Arrastradero,7B,1,5
Techo del Nenúfar,Techos,7C,1,3
El Garbanzo,T.Media,7A+,1,0
Iberia Airlines,Techos,7A,1,0
"N.N. (Boulder 1, b)",Techos 2,7A+,1,0
"N.N. (Boulder 17, c)",Techos 2,7A+,1,0
"N.N. (Boulder 43, b)",Arrastradero,7B,1,0
N.N. 25,Arrastradero,7A,1,0
el esquinazo SD,Arrastradero,7A,1,0
Ahora vas y sales,Sol-arrastradero,7A,1,0
Frambuesa ståstart,Aeroline,7A,1,0
n. 7 a),Aeroline,6A,1,0
n. 15 c),Techos 1,5A,1,0
n.4,SOL,5A,1,3
Astrolabio s.s.,SOL,7B,1,3
trave de planos,Techos,7C,1,3
N.N.,SOL,6B,1,5
a la ix de la lagrima,Arrastradero,6C,1,3
President Bush & The Nuke Test,Techo don pepo,6C,1,0
Escape,Sector Sol,7A,1,0
Joker,Techos,7A,1,0
Jaguar,Arrastradero,7C,1,0
N.N. (Bloc 25a),Arrastradero,7A,1,0
senor de la mosqua,Unknown Crag,7B+,1,0
Hasta luengo,Techos,7A,1,5
la esquina de ivan,Arrastradero,6B,1,0
El camino del exceso,La Mezquita,8A,1,0
Guebrantamentes LR,Techos,7C+,1,0
Gato con batos,Unknown Crag,7A+,1,0
N.N. (Boulder 2-d),Techo don pepo,6C,1,0
N.N. (Boulder 3-f),Techo don pepo,6C,1,3
N.N. (Boulder 3-g),Techo don pepo,7A,1,3
Greenleaf,Aeroline,6A,1,0
lance en el callejon de los lances,Techos 2,6C,1,0
N.N. (2a),Techos 2,6B,1,5
N.N. (4b),Cabrerizo,6A+,1,3
techos don pepo,Techo don pepo,7A,1,0
greenleaf,Parking,6A+,1,0
Efeito Mariposa,Peninsula,7A+,1,0
Ineshackra,Arrastradero,7C,1,5
Suave balanceio,Arrastradero,7B,1,5
Sulcionador right,Arrastradero,7B,1,0
N.N.,Psikiller,7A,1,0
Izk Tonikoeferves,Unknown Crag,7A,1,3
El circo del sol (sit),Unknown Crag,7B+,1,5
der. Orejas,Unknown Crag,7A+,1,3
¿? Arrastradero,Unknown Crag,7A,1,5
¿?¿? Península,Unknown Crag,6B,1,5
El Panal??,Unknown Crag,7A,1,3
N.N. (Dcha de Quality control),Unknown Crag,7A,1,3
Techo Exito Total,Unknown Crag,7A+,1,0
Placa Miguelito,Unknown Crag,7A+,1,0
El bloque del Miguel,Unknown Crag,7A+,1,0
La manopla,Unknown Crag,7B,1,5
Adrianline,Unknown Crag,7A,1,0
La cuevecita del frio,Los techos,7A+,1,0
Travesia cerca filo,Los techos,7A+,1,0
Arco dx,Unknown Crag,6C,1,3
Arco,Unknown Crag,6C+,1,1
jabaloyas(de pie),Unknown Crag,7B,1,5
Bo Tascha,Unknown Crag,7B+,1,1
Tonicoefesvercente,Unknown Crag,7A,1,0
Esquerra embaucador,Unknown Crag,5A,1,0
Esquerra del tot,Unknown Crag,6C,1,0
penultim dreta,Unknown Crag,6C,1,0
ultim dreta Eixida Sentat,Unknown Crag,6C+,1,0
joquines,Unknown Crag,6A,1,0
"Antepenultim pared esquerra Regleteros, llançament",Techos,7A+,1,0
Antepenultim llançament dreta,Techos,6A+,1,3
El orejas de,Unknown Crag,8A,1,0
7C secteur Peninsula,Unknown Crag,7C,1,0
N.N. (Right of Roff Peninsula),Unknown Crag,7A+,1,0
La cresta del pollo,Unknown Crag,6A,1,0
El gato noseq...,Unknown Crag,7A+,1,0
Cueva de los techos!?,Unknown Crag,7A+,1,0
Variante7b+de los techos!?,Unknown Crag,7A+,1,0
Fomega,Unknown Crag,7A,1,0
don pepo(right way),Unknown Crag,6C+,1,0
TECHO BLOC1.1,Unknown Crag,7A+,1,0
INESCHAKERA,Unknown Crag,7C,1,0
MANUCHAHRA,Unknown Crag,7B+,1,0
LOS TECHNOS,Unknown Crag,7C+,1,0
EL PAIS DE,Unknown Crag,7A,1,0
TECHO DOLMENE ASSIS,Unknown Crag,7C+,1,0
A Obscuras,Unknown Crag,7A,1,0
7b+? (sd) in Arastraderos,Unknown Crag,7B+,1,0
7b sector technos,Unknown Crag,7B,1,3
7a (sd)sector technos,Unknown Crag,7A,1,5
7b (sd + mantel) sector Peninsula,Unknown Crag,7B,1,3
7a+ sector Peninsula,Unknown Crag,7A+,1,5
Tonicoefervescente (dir.),Unknown Crag,7A,1,0
el Jacuzzi (var.),Unknown Crag,7A,1,0
6b+ arrastradero,Unknown Crag,6B+,1,5
Aciegas,Unknown Crag,7B,1,1
Cerrao,Unknown Crag,6C,1,3
placas del sol,Unknown Crag,6B,1,3
PLATIERE 3,Peninsula,8A,1,0
karmansia/en pie,SOL,7A,1,0
un bocadito,Arrastradero,7C,1,0
Highflive,Techos,6A+,1,0
Trave del Cazotanks,Arrastradero,6C,1,3
la lapida,Los techos,7B,1,0
lQuebrantamentes (sit),Los techos,7B+,1,0
La fisura del Cagadero,Parking,7A,1,0
Full of beauty,Arrastradero,7A,1,0
N°39a - Topo Gebro,SOL,6B+,1,0
Supermafa Tacho Lance,Techos 1,7A,1,0
n°13e,Techos 1,7A,1,0
n°22c,Arrastradero,7A,1,0
Prospective (assis),Cabrerizo,6B+,1,0
N.N. 102,SOL,6C,1,0
N.N. 26,SOL,6B+,1,0
Jacuzzi Dcha.,Arrastradero,7A,1,0
Jabaloyas right,SOL,7B,1,0
N.N. (Bloc 10 n° b),Parking,7B,1,3
N.N. (bloc 12 n°c),Parking,6C,1,0
N.N. (bloc 18),Arrastradero,6C,1,3
N.N. (1c),Peninsula,6B+,1,5
N.N. (7a),Aeroline,6A,1,5
N.N. (5c),Aeroline,6A,1,5
inuchakra,Unknown Crag,7C,1,5
Regleteo,Parking,4A,1,0
Ay que no me levanto,Parking,5B,1,0
Raro,Cabrerizo,6C,1,5
Techo ¿?,Techos (a la izq del callejon de los lances),6C,1,5
Techo ¿?,Arrastradero,7A+,1,3
N.N.,el sol?,7C,1,0
Tetto-spigolo,Unknown Crag,7B,1,0
7a de la Campana,Techos,7A,1,5
Espolón,Techos,7B+,1,5
Techo barras,Tierra media,7A,1,0
anti-senia,Arrastradero,7B,1,5
Derecha El orejas de las regletas,Arrastradero,7A,1,3
Xenia,Unknown Crag,7B,1,1
La mala Reputacion,Unknown Crag,7A+,1,5
Nocturnidad...,Unknown Crag,7A,1,0
triangle dyno thingy,Arrastradero,7A,1,0
Dyno!,Arrastradero,6B+,1,5
Dere Orejas de las Regletas,Arrastradero,7A,1,3
Bipepillo s.s.,SOL,6B+,1,5
daños colaterales de pie,Peninsula,7A+,1,3
Jabaloyas dir,SOL,7B,1,0
Karmansia (dp),El Sol,7A,1,0
BoulderTopo 6a,Psicokiller,6A+,1,5
BoulderTopo 15e,Techos,6B,1,0
ARR-B30-L2,Unknown Crag,6B,1,0
N.N. (Left of Metodo Bizarro),Cabrerizo,6C+,1,1
Grashopper,Arrastradero,7B+,1,1
N.N. (Boulder 7 b),Peninsula,7A,1,3
N.N. (Boulder 12 a),Techos 2,7B,1,0
La cena de los idiotas SD,Unknown Crag,7B,1,0
norop.es Bloque 6 - 3,Arrastradero,6A,1,1
de Markel y kongi,Arrastradero,7A+,1,1
amaldadura,Unknown Crag,6C,1,5
dangar block crack,Unknown Crag,6A+,1,5
Empotre puño,Parking,7A,1,3
areoline,Aeroline,7B+,1,5
Prob A,Aeroline,7A,1,0
Prob B,Techos 2,7A+,1,5
Campus,Masia,8A,1,0
Pa tu culo gafirulo R1,Arrastradero,7A,1,3
BoulderTopo 1a,SOL,6A,1,5
BoulderTopo 36c,SOL,6B,1,0
BoulderTopo 4b,SOL,4A,1,5
Techo Don Pepo LH,Unknown Crag,7C,1,0
N.N. (Undercut Crimp Problem),Unknown Crag,7C,1,5
Supermafanacho Lance,Unknown Crag,7A,1,1
N.N. (Next to La Campana),Unknown Crag,7A,1,0
N.N. (Next to Aeroline),Unknown Crag,7A,1,3
N.N. (Next to Mardi Gras),Unknown Crag,7A,1,3
Le Dyno,Unknown Crag,7A,1,1
N.N. (Traverse),Unknown Crag,7A+,1,3
Gorrilas,Unknown Crag,7A+,1,5
Beglam,Unknown Crag,7B,1,5
BoulderTopo 28c (aka espáiderpig),Arrastradero,6C,1,5
BoulderTopo 38a (aka abrazame),SOL,6B,1,5
Frambuesa HE,Unknown Crag,7A,1,3
en cazo thanks con salida de romos,Arrastradero,6C,1,1
techo con salida a canto lanzando,Arrastradero,6C,1,5
S/N,Arrastradero,6B,1,5
El Jacuzzi,Aserradero,6C,1,5
Inconnu,Arrastradero,7A,1,3
B22.d,Arrastradero,7A,1,0
El espiritu del vino,Colmenero,7A+,1,0
crocodrilo,Cabrerizo,5B,1,3
La tortuga,Arrastradero,6B,1,5
"N.N. (boulder 2, a)",Parking,6C,1,3
"N.N. (boulder 14, b)",Parking,6C,1,0
Los alemanes no saben graduar,Arrastradero,6A+,1,0
Platillo's classic,Peninsula,6A,1,0
N.N. (Boulder 5 b),Peninsula,3A,1,0
J.krishnamurti,Acantilados,6C+,1,0
pelotudo,Acantilados,6C,1,0
diedro fisurico,Parking,6B+,1,0
trave y techo,Parking,6C,1,1
N.N. (Boulder 28 c),Arrastradero,6C+,1,1
N.N. (Boulder 11 e),Peninsula,6B,1,0
N.N. (12b),Techos 2,7B,1,5
N.N. (3f),Techo don pepo,6C,1,5
Techo psicokiller,Psicokiller,7A,1,5
Der. senyor moscas,SOL,6C,1,5
Variante Javaloyas,SOL,7A+,1,0
Paralelo 65,La peninsula,7A,1,0
Espperanza,Unknown Crag,7A,1,0
Triangle boulder,Unknown Crag,6C,1,0
Sloper trav. near triangle boulder,Unknown Crag,7A,1,0
El Jacuzzi Var.,Arrastradero,7A,1,0
Some slanting thing???,Unknown Crag,6B,1,0
Cool Slappy thing???,Unknown Crag,7A,1,0
trave del pepo,Cabrerizo,7A,1,0
N.N.,TECTOS,7A,1,5
N.N.,Parking lot,7A,1,3
brun,SOL,6B+,1,1
Javaloyas,El Sol,7B+,1,0
Plaquita de Mar,S.Sol,6A,1,0
Placa Ivan,albarracin,7A+,1,0
"7b, Albarracin, Parking area",Parking,7B,1,3
el pais de las biciclets,Unknown Crag,7A,1,0
Rumba de Barcelona,Unknown Crag,7B,1,3
La Campana trav,Unknown Crag,7A+,1,0
'the rail thing',Techos,7B,1,0
Dcha.Yacuzzi,Arrastradero,7B,1,0
Seiscerrado,Arrastradero,6C,1,0
N.N. (19h),Peninsula,6B+,1,5
La trave de los techos,Techos,7B,1,5
Empotración,Parking,7A,1,5
Implikados,Parking,6B+,1,5
Simpaty,Techos,6A,1,5
Goldman Sachs,Bezas,7B,1,0
"N.N. (boulder 13, left of La cabeza empotrada)",Parking,6C,1,0
Evolution dcha,Unknown Crag,7C,1,3
