route name,sector name,grade,ascents,stars
Ketamina,Tierra media,7A,50,3
Choque hipoglucémico,La fuente,6A+,50,3
el besabiceps,Arrastradero,6A,50,4
El ejecutor,Arrastradero,7A,49,2
N.N.,Entre aguas,6C+,49,3
TEC-B11-L4,Techos,6C,49,3
TEC-B22-L4,Techos,6A+,49,3
LAF-B2-L7,La fuente,6C,49,3
La PLAFONADA,Arrastradero,6C,49,3
Robabloques,La fuente,6C,49,3
supermafatacho,Techos,6B,48,3
la lengua,Parking,6C,48,3
El Marrano,Arrastradero,7B+,48,4
TEC-B18-L11,Techos,6A,48,4
El Ovni,La fuente,7A,48,3
El dibujante de regletas,Arrastradero,6C,47,4
Brainstorm,Techos,7A+,47,4
eclipse,Unknown Crag,7B,45,4
PAR-B13-L1,Parking,6C,45,3
Tasllomaras,Cabrerizo,6B+,45,4
CAB-B1-L1,Cabrerizo,6C,45,3
N.N.,Techo don pepo,6C+,44,3
N.N.,Aeroline,6B+,44,2
Desubitoplaf,Cabrerizo,6A,44,3
LOS 4 FANATICOS,Parking,5C,44,3
ARR-B61-L3,Arrastradero,6C+,44,4
El arlequín,Peninsula,7B,44,4
COL-B21-L1,Mezquita,7B,44,4
TMA-B19-L3,Tierra media,6C,44,3
supergirl,Arrastradero,7B,44,3
el chorro,Unknown Crag,7A+,44,4
PAR-B1-L6,Parking,7A,43,4
COL-B20-L1,Mezquita,7C,43,3
Fight Club,La fuente,7B+,43,3
El patito,Arrastradero,6A,42,3
Lancelot,Techos,6C,42,4
Variante del Redil,Entre aguas,7A,42,3
ENA-B13-L5,Entre aguas,6B+,42,2
rammstein,Unknown Crag,7B,42,2
Zombie Nation,Unknown Crag,7C+,42,2
En tierra de nadie,Entre aguas,7A,42,4
El rompededos,Techos,7A+,42,3
El desperton,Arrastradero,6B,41,3
tec-b44-l2,Techos,7B,41,3
ENA-B8-L2,Entre aguas,7A,41,3
Helicopters on ankles,Techos,6C,41,3
El Phomega,Techos,7B+,41,4
ARR-B53-L12,Arrastradero,6B+,41,2
Milano,Techos,7B+,40,3
El ocho pinocho,Arrastradero,6B,40,3
Efecto mariposa,Peninsula,7A+,40,4
La Fuente,Unknown Crag,7C,40,3
LAF-B16-L4,La fuente,6B,40,4
La evasión de los enanos,La fuente,6C+,40,4
Cosmos,Unknown Crag,8A,39,3
Raquel,Techos,7A,39,2
Palpant,Unknown Crag,7B+,39,4
Cosmos,Unknown Crag,8A,39,3
Raquel,Techos,7A,39,4
Palpant,Unknown Crag,7B+,39,2
ARR-B18-L6,Arrastradero,6A,39,4
sandstorm,Arrastradero,7A,39,4
TEC-B32-L1,Techos,7A,38,5
Alevosia,SOL,7B,38,2
El desansiao,Arrastradero,6C,38,3
Top model,SOL,6B+,38,3
ARR-B17-L1,Arrastradero,6C+,38,4
Cangriburguer,La fuente,7B+,38,4
os bolachas,Arrastradero,7A,38,4
El Pelele,Tierra media,6B+,38,3
ARR-B53-L1,Arrastradero,7A,37,2
La Ola,Tierra media,6C+,37,3
Amoldadura,SOL,6C,37,3
Alvaridades,SOL,6A,37,3
Liquen bastardo,Arrastradero,7B,37,4
ENA-B6-L1,Entre aguas,6B+,37,4
Simba,La fuente,7C,36,4
Psicokiller,Psicokiller,7A+,36,2
Mazinger Z,Peninsula,6A,36,3
El señor de los enanos,Arrastradero,7B,36,3
ENA-B13-L6,Entre aguas,7A,36,3
Pinus Rodenus,Arrastradero,6B,36,4
ARR-B10-L6,Arrastradero,4C,36,4
ARR-B10-L7,Arrastradero,5C,36,4
Simba,La fuente,7C,36,4
Bindu,Techos,8A+,36,4
El murcielago,Unknown Crag,7A,35,1
La lagrima,Unknown Crag,6C+,35,4
TMA-B12-L4,Tierra media,7A,35,3
LAF-B16-L1,La fuente,6A,35,3
N.N.,Entreaguas,6C+,34,3
A ciegas,Unknown Crag,7A+,34,3
PAR-B6-L1,Parking,6A,34,4
Ben zona,Techos,7B+,34,4
Bonita,Parking,4B,34,4
ENA-B5-L2,Entre aguas,6A,34,3
TEC-B18-L5,Techos,6B+,34,3
TEC-B49-L1,Techos,7A+,33,3
ARR-B61-L11,Arrastradero,6B+,33,3
N.N.,Techos,7A,33,3
Techo De Don Pepo,Cabrerizo,7A+,33,3
Sonrisa vertical,Parking,6B,33,3
ENA-B1-L7,Entre aguas,6B,33,4
Midnight Parking,Parking,7A,33,4
Techo de los Alemanes,La fuente,7A,32,3
ARR-B56-L2,Arrastradero,7A+,32,4
TEC-B12-L3,Techos,6B,32,3
El Jirafa,Entreaguas,7B,32,4
Gorilaz,Techos,7A,32,2
Ena-b1-l5,Entre aguas,6C,32,3
yosemite,La fuente,7B+,32,3
Katuaren Errota,Arrastradero,7A+,32,3
La Placa Roja,Entre aguas,7A,31,3
El empeine encantado (sit),Arrastradero,7B,31,4
Zooruyo,Unknown Crag,7A,31,4
TEC-B22-L2,Techos,5C,31,4
CAB-B1-L5,Cabrerizo,6C+,31,3
romoherectus,Techos,7A+,31,3
Golosina,Peninsula,6B,31,3
La solea del yaletengo,Techos,7A,31,3
fight club,Unknown Crag,7B+,31,3
El empeine encantado (sit),Arrastradero,7B,31,3
Zooruyo,Unknown Crag,7A,31,4
TEC-B22-L2,Techos,5C,31,4
CAB-B1-L5,Cabrerizo,6C+,31,3
La Placa Roja,Entre aguas,7A,31,4
TEC-B11-L7,Techos,6B,30,2
Lartista,Arrastradero,6A+,30,4
ENA-B1-L6,Entre aguas,6C,30,3
tec-b17-l4,Techos,6C+,30,3
TEC-B12-L1,Techos,7A,30,4
El Original Mola Mas,Arrastradero,7A,30,3
ENA-B21-L3,Entre aguas,7A,30,4
El concilio,Arrastradero,7B,29,2
El Rey León,Peninsula,7A+,29,2
Alto Copete,Techos,7A+,29,3
Volumen,Arrastradero,3B,29,3
arr-b46-l3,Arrastradero,6A,29,3
TEC-B34-L1,Techos,6B,29,4
TEC-B17-L5,Techos,6B,29,4
El corte magico,Techos,7A,29,3
Sale huevos,La fuente,7A+,29,4
Capitan Cavernicola,Arrastradero,7A,28,3
Brain Storm,Techos,7A+,28,3
La trave negra,Parking,6C+,28,3
Burning,La fuente,6B+,28,3
TEC-B11-L3,Techos,6A,28,4
Manuchakra,Unknown Crag,7C,28,3
Par-b15-l3,Parking,6B+,28,3
TEC-B41-L2,Techos,6C,28,3
Zarzamora stand,Parking,7A,28,3
LAF-B11-L4,La fuente,6A,28,3
Murciélago direct,Tierra media,7B,28,3
Orangután,Techos,7C,28,4
Robotics Jr.,La fuente,7B+,28,4
Borda El Campus,Arrastradero,5C,27,3
El metodo decide,Arrastradero,6B+,27,3
TEC-B18-L3,Techos,6C+,27,3
El club de los enanos,La fuente,7A+,27,4
TEC-B22-L3,Techos,5B,27,4
Borda El Campus,Arrastradero,5C,27,3
El metodo decide,Arrastradero,6B+,27,4
Obra de arte,Techos,6A+,27,4
El Coleccionista De Huesos,Mezquita,7B,27,4
Rockman,Parking,7B,27,2
Pirita madre,La fuente,7A,27,4
Zig Zag,Unknown Crag,7A,27,3
ENA-B1-L8,Entre aguas,6A,27,4
Mantra,Arrastradero,7A+,27,3
Canadaconexion,Arrastradero,7B,26,3
TMA-B18-L5,Tierra media,6A+,26,2
La tortuga,Cabrerizo,6B+,26,3
De subito plaf,Cabrerizo,5C,26,2
El Orejas de las Regletas,Unknown Crag,8A,26,4
N.N.,Techos 2,6B,26,4
thieves,Psicokiller,7B+,26,3
LAF-B3-L10,La fuente,6B,26,4
A oscuras,Unknown Crag,7A+,26,2
ARR-B28-L4,Arrastradero,6B,26,5
aeroline,Unknown Crag,7B,26,4
akelarre,Arrastradero,7A+,26,3
Pinturas buldestres,Pinturas,7C+,26,4
TMA-B19-L2,Tierra media,6A,26,2
PAR-B9-L8,Parking,7B,26,4
ARR-B28-L2,Arrastradero,6A,26,4
Canadaconexion,Arrastradero,7B,26,3
TMA-B18-L5,Tierra media,6A+,26,4
la raia,Cabrerizo,6A,25,3
Klem's traverse,Unknown Crag,8A,25,2
N.N.,Arrastradero,6C+,25,4
Jabaloyas,SOL,7B,25,5
Virgeries,Cabrerizo,6A,25,4
El embaucador,Arrastradero,5A,25,2
ARR-B53-L4,Arrastradero,6A,25,3
Ilice,Arrastradero,6C,25,4
Fonteneblistico,La fuente,7B+,25,4
el pie de curtis,La fuente,7A+,25,3
TEC-B11-L1,Techos,5C,25,2
Spider pig,Unknown Crag,6C,25,3
ARR-B53-L9,Arrastradero,7A+,25,4
TEC-B29-L1,Techos,7A,25,4
Arista Ivan,Arrastradero,6B+,24,3
Peldaños,Arrastradero,3B,24,4
Fuerte a muerte,Arrastradero,8A,24,3
1880,Techos,6B,24,3
La grieta,Peninsula,7A+,24,4
N.N.,Techos 1,6C,24,3
PAR-B15-L1,Parking,7A+,24,3
ENA-B1-L4,Entre aguas,6A,24,4
VDM-B5-L1,Valle de la madera,6C,24,4
Crisis de inversion,Unknown Crag,7B+,24,4
ENA-B13-L4,Entre aguas,6B,24,3
Tma-b3-l2,Tierra media,7B,24,3
el plus del autobus,Unknown Crag,7A+,24,3
Desde la puerta,Tierra media,5C,24,4
ARR-B46-L1,Arrastradero,5C,24,2
El Redil,Entre aguas,6B+,24,4
TMA-B14-L1,Tierra media,6A,23,5
Grasshopper,Arrastradero,7B+,23,4
gorillaz,Unknown Crag,7A,23,3
Danian,Unknown Crag,7C,23,3
Gorillas,Techos,7A+,23,4
Saltobase,Arrastradero,7A,23,4
Mántel en el Bolsillo,La fuente,7A,23,4
La beca,La fuente,4B,23,3
TMA-B29-L4,Tierra media,6B,23,3
Chincheta y chinrobellon,Arrastradero,6A,23,2
orion,Techos,8A,23,4
Vilma cierra la puerta,Techos,7A,23,4
ARR-B61-L10,Arrastradero,6A+,23,4
PAR-B18-L2,Parking,5B,23,3
TEC-B41-L1,Techos,6B,23,4
TMA-B18-L4,Tierra media,6A+,23,2
El cartero siempre llama 2 veces,Entre aguas,7A,22,4
PAR-B15-L2,Parking,6C+,22,3
TEC-B26-L1,Techos,6B,22,4
PSI-B3-L10,Psicokiller,6C,22,4
Los lunis,Parking,3B,22,4
LAF-B10-L5,La fuente,6A,22,4
PAR-B15-L2,Parking,6C+,22,3
TEC-B26-L1,Techos,6B,22,4
PSI-B3-L10,Psicokiller,6C,22,2
Marranito,Arrastradero,6C,22,4
avalancha,Mezquita,7B,22,3
TMA-B15-L2,Tierra media,6C,22,4
TEC-B44-L1,Techos,6B+,22,4
El cartero siempre llama 2 veces,Entre aguas,7A,22,2
jacuzzi,Arrastradero,6B,21,3
Lord espolón,Cabrerizo,6A,21,1
dizdira,Unknown Crag,7C,21,4
Varano,Arrastradero,7C+,21,3
Un bocadito si le daria,Arrastradero,7C,21,2
sin patas,Psicokiller,7A,21,3
N.N.,Fuente,6C,21,3
Zarzaparrilla,Unknown Crag,8A+,21,2
LAF-B10-L3,La fuente,5C,21,4
Zatoichi,Unknown Crag,7C+,21,4
sin patas,Psicokiller,7A,21,3
N.N.,Fuente,6C,21,3
Zarzaparrilla,Unknown Crag,8A+,21,3
LAF-B10-L3,La fuente,5C,21,2
Zatoichi,Unknown Crag,7C+,21,4
pen-b21-l4,Peninsula,7B,21,3
Laf-B11-L2,La fuente,7B,21,4
Highway to heaven,Unknown Crag,7B+,21,4
El Plus del Autobus (sit),La fuente,7B,20,4
El reposo gaseoso,La fuente,7A,20,4
Arr-B18-L3,Arrastradero,5C,20,4
tanca la porta,Cabrerizo,6B,20,3
aerofagia,Arrastradero,7A,20,4
PSI-B3-L12,Psicokiller,6C+,20,3
CAB-B11-L2,Cabrerizo,6A+,20,4
ARR-B39-L2,Arrastradero,6B,20,4
N.N.,Valle de la madera,7A,20,3
N.N.,Los techos,7A,20,3
